;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
160;161;206;CENGIZ CONSTRUCTION INDUSTRY & TRADE CO. INC., Istanbul, Turkey ;254.2;1093.5;NA;0;0;0;0;0;0;100;0;0;N;CENGIZ CONSTRUCTION INDUSTRY & TRADE CO. INC.;Istanbul;Turkey;2022
161;162;137;KOLIN INSAAT TURIZM SANAYI VE TICARET AS, Ankara, Turkey ;248.4;1287.9;938.4;0;0;0;0;0;2;97;0;0;N;KOLIN INSAAT TURIZM SANAYI VE TICARET AS;Ankara;Turkey;2022
162;163;187;APTIM, Baton Rouge, La., U.S.A. ;244.7;1035.1;1047.0;5;0;0;0;0;95;0;0;0;N;APTIM; Baton Rouge,La.;U.S.A.;2022
163;164;**;SHANDONG ELECTRIC POWER ENG’G CONSULTING, Jinan, China†;239.6;1553.3;2792.9;0;0;100;0;0;0;0;0;0;Y;SHANDONG ELECTRIC POWER ENG’G CONSULTING;Jinan;China;2022
164;165;188;METAG GROUP , Ankara, Turkey ;237.0;237.0;NA;12;0;0;13;7;0;68;0;0;N;METAG GROUP;Ankara;Turkey;2022
165;166;176;LONGXIN CONSTRUCTION GROUP CO. LTD., Nantong, China†;230.1;5848.0;3430.4;100;0;0;0;0;0;0;0;0;Y;LONGXIN CONSTRUCTION GROUP CO. LTD.;Nantong;China;2022
166;167;169;RAILWORKS, New York, N.Y., U.S.A.†;227.8;926.7;NA;0;0;0;0;0;0;100;0;0;Y;RAILWORKS; New York,N.Y.;U.S.A.;2022
167;168;162;GAP INSAAT YATIRIM VE DIS TICARET AS, Istanbul, Turkey†;220.3;248.7;NA;100;0;0;0;0;0;0;0;0;Y;GAP INSAAT YATIRIM VE DIS TICARET AS;Istanbul;Turkey;2022
168;169;179;ENG’G FOR THE PETROLEUM & PROCESS INDUSTRIES (ENPPI), Cairo, Egypt†;218.9;362.9;853.9;0;0;0;0;0;100;0;0;0;Y;ENG’G FOR THE PETROLEUM & PROCESS INDUSTRIES (ENPPI);Cairo;Egypt;2022
169;170;177;SHANDONG ZIJIAN CONSTRUCTION GROUP CO. LTD., Zibo, China ;215.2;1889.6;1779.8;95;0;0;0;0;0;0;0;5;N;SHANDONG ZIJIAN CONSTRUCTION GROUP CO. LTD.;Zibo;China;2022
