;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
1727;243;214;RASEN INSAAT VE YATIRIM AS, Istanbul, Turkey†;76.0;76.0;30.0;100;0;0;0;0;0;0;0;0;Y;RASEN INSAAT VE YATIRIM AS;Istanbul;Turkey;2016
1728;244;**;ELECTRA LTD., Ramat gan, Israel† 73.9;1334.8;;37.1;100;0;0;0;0;0;0;0;0;Y;ELECTRA LTD.;Ramat gan;Israel 73.9;2016
1729;245;**;STRATUS HOLDING GROUP , Tehran, Iran† 73.5;101.3;;NA;85;0;0;0;0;0;15;0;0;Y;STRATUS HOLDING GROUP;Tehran;Iran 73.5;2016
1730;246;**;KOLIN INSAAT TURIZM SANAYI VE TICARET AS, Ankara, Turkey  69.0;818.0;;NA;0;0;0;3;0;0;97;0;0;N;KOLIN INSAAT TURIZM SANAYI VE TICARET AS;Ankara;Turkey  69.0;2016
1731;247;**;ENG’G FOR THE PETROLEUM & PROCESS INDUS. (ENPPI), Cairo, Egypt† 68.9 342.8;;237.7;;0;0;0;0;0;100;0;0;0;Y;ENG’G FOR THE PETROLEUM & PROCESS INDUS. (ENPPI);Cairo;Egypt 68.9 342.8;2016
1732;248;**;IRCON INTERNATIONAL LTD., New Delhi, India  65.6 416.4;;352.9;;0;0;0;0;0;0;90;0;9;N;IRCON INTERNATIONAL LTD.;New Delhi;India  65.6 416.4;2016
1733;249;91;SHANGHAI ELECTRIC GROUP CO. LTD., Shanghai, China† 62.7;94.7;103.5;;0;0;100;0;0;0;0;0;0;Y;SHANGHAI ELECTRIC GROUP CO. LTD.;Shanghai;China 62.7;2016
1734;250;217;KEPCO ENG’G & CONSTRUCTION CO., Gyeongsangbuk-do, S. Korea ;62.7;89.4;NA;0;0;100;0;0;0;0;0;0;N;KEPCO ENG’G & CONSTRUCTION CO.;Gyeongsangbuk-do;S. Korea;2016
1735;1;1;ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA, Madrid, Spain†;38707.5;46081.1;42218.5;30;1;7;3;3;15;21;0;6;Y;ACS; ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,Madrid;Spain;2015
1736;2;2;HOCHTIEF AKTIENGESELLSCHAFT, Essen, Germany†;29299.3;31118.8;26116.2;39;2;2;2;1;12;18;0;7;Y;HOCHTIEF AKTIENGESELLSCHAFT;Essen;Germany;2015
1737;3;3;BECHTEL, San Francisco, Calif., U.S.A.†;21414.0;28302.0;6096.0;0;0;0;0;0;80;20;0;0;Y;BECHTEL; San Francisco,Calif.;U.S.A.;2015
1738;4;4;VINCI, Rueil-Malmaison, France†;19679.9;51868.8;18147.2;9;0;14;2;0;6;49;1;7;Y;VINCI;Rueil-Malmaison;France;2015
1739;5;9;CHINA COMMUNICATIONS CONSTRUCTION GRP . LTD., Beijing, China†;15827.0;60314.6;28216.8;3;0;0;1;1;0;95;0;0;Y;CHINA COMMUNICATIONS CONSTRUCTION GRP . LTD.;Beijing;China;2015
1740;6;10;TECHNIP , Paris, France†;14223.6;14343.6;18741.0;0;0;0;0;0;100;0;0;0;Y;TECHNIP;Paris;France;2015
1741;7;7;BOUYGUES SA, Paris, France†;14201.0;32335.0;15888.0;30;0;3;1;0;3;57;1;0;Y;BOUYGUES SA;Paris;France;2015
1742;8;8;SKANSKA AB, Stockholm, Sweden†;14024.9;17687.2;16743.5;49;2;5;1;2;5;33;0;1;Y;SKANSKA AB;Stockholm;Sweden;2015
1743;9;6;STRABAG SE, Vienna, Austria†;13972.0;16470.0;14923.0;36;0;1;4;3;6;49;0;0;Y;STRABAG SE;Vienna;Austria;2015
1744;10;11;SAIPEM, San Donato Milanese, Italy†;13623.4;13831.9;NA;0;0;0;0;0;97;3;0;0;Y;SAIPEM;San Donato Milanese;Italy;2015
1745;11;23;POWER CONSTRUCTION CORP . OF CHINA, Beijing, China†;11653.4;38689.6;22817.0;11;0;61;6;5;0;14;0;0;Y;POWER CONSTRUCTION CORP . OF CHINA;Beijing;China;2015
1746;12;5;FLUOR CORP ., Irving, Texas, U.S.A.†;11524.1;16924.9;20351.0;10;0;0;0;0;83;5;1;1;Y;FLUOR CORP .; Irving,Texas;U.S.A.;2015
1747;13;12;CONSTRUTORA NORBERTO ODEBRECHT SA, Sao Paulo, SP , Brazil†;10199.7;14042.9;9357.0;6;0;16;8;2;32;36;0;0;Y;CONSTRUTORA NORBERTO ODEBRECHT SA; Sao Paulo,SP;Brazil;2015
1748;14;13;HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD., Seoul, S. Korea ;9687.4;16366.4;18351.2;14;2;36;0;1;32;14;0;0;N;HYUNDAI ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;S. Korea;2015
1749;15;14;FERROVIAL, Madrid, Spain†;8365.6;11618.6;8544.1;17;0;0;3;5;0;74;0;0;Y;FERROVIAL;Madrid;Spain;2015
1750;16;17;SAMSUNG C&T CORP ., Seoul, S. Korea ;7845.0;14092.0;7587.0;9;15;19;1;0;4;39;0;0;N;SAMSUNG C&T CORP .;Seoul;S. Korea;2015
1751;17;20;CHINA STATE CONSTRUCTION ENG’G CORP . LTD., Beijing, China†;7239.1;110579.4;NA;61;0;1;2;1;0;22;0;0;Y;CHINA STATE CONSTRUCTION ENG’G CORP . LTD.;Beijing;China;2015
1752;18;**;OZTURK HOLDING CO., Istanbul, Turkey ;6903.0;7021.0;3539.0;85;0;0;4;0;0;11;0;0;N;OZTURK HOLDING CO.;Istanbul;Turkey;2015
1753;19;18;ROYAL BAM GROUP NV, Bunnik, The Netherlands†;6165.0;9672.0;NA;40;0;0;0;0;0;57;0;0;Y;ROYAL BAM GROUP NV;Bunnik;The Netherlands;2015
1754;20;19;ABEINSA SA, Seville, Spain†;5805.9;6038.3;7596.1;1;0;94;2;0;1;1;0;0;Y;ABEINSA SA;Seville;Spain;2015
1755;21;21;PETROFAC LTD., Jersey, Channel Islands, U.K.†;5604.4;5604.4;10108.0;0;0;0;0;0;100;0;0;0;Y;PETROFAC LTD.; Jersey,Channel Islands;U.K.;2015
1756;22;24;CONSOLIDATED CONTRACTORS GROUP , Athens, Greece†;5481.6;5481.6;5466.0;23;0;3;1;1;46;27;0;0;Y;CONSOLIDATED CONTRACTORS GROUP;Athens;Greece;2015
1757;23;28;CHINA RAILWAY GROUP LTD., Beijing, China†;5464.2;113105.7;8981.9;20;1;0;0;0;0;56;0;0;Y;CHINA RAILWAY GROUP LTD.;Beijing;China;2015
1758;24;26;CB&I, The Woodlands, Texas, U.S.A.†;5436.3;10317.0;4208.7;0;0;1;0;0;99;0;0;0;Y;CB&I; The Woodlands,Texas;U.S.A.;2015
1759;25;22;PCL CONSTRUCTION ENTERPRISES INC., Denver, Colo., U.S.A.†;5129.8;7232.9;5222.4;55;11;3;0;1;23;5;0;0;Y;PCL CONSTRUCTION ENTERPRISES INC.; Denver,Colo.;U.S.A.;2015
1760;26;29;GS ENGINEERING & CONSTRUCTION, Seoul, S. Korea†;5115.5;8450.6;6279.2;12;7;6;0;2;65;9;0;0;Y;GS ENGINEERING & CONSTRUCTION;Seoul;S. Korea;2015
1761;27;25;CHINA NAT’L MACHINERY INDUSTRY CORP ., Beijing, China†;5035.1;5811.3;9170.4;9;4;52;3;0;16;7;0;2;Y;CHINA NAT’L MACHINERY INDUSTRY CORP .;Beijing;China;2015
1762;28;27;JGC CORP ., Yokohama, Japan†;5001.0;5608.0;4829.0;0;0;0;0;0;100;0;0;0;Y;JGC CORP .;Yokohama;Japan;2015
1763;29;33;CIMIC GROUP LTD., St. Leonards, NSW, Australia†;4407.9;18898.2;3753.5;36;0;3;1;2;8;24;0;0;Y;CIMIC GROUP LTD.; St. Leonards,NSW;Australia;2015
1764;30;34;SALINI IMPREGILO SPA, Milan, Italy†;4342.9;5092.1;4524.0;4;0;0;48;3;0;40;0;0;Y;SALINI IMPREGILO SPA;Milan;Italy;2015
1765;31;31;OHL, Madrid, Spain†;4294.1;5707.7;6204.9;16;0;0;5;0;6;72;0;0;Y;OHL;Madrid;Spain;2015
1766;32;38;TECNICAS REUNIDAS, Madrid, Spain†;3859.8;3936.5;5594.0;0;0;4;1;0;95;0;0;0;Y;TECNICAS REUNIDAS;Madrid;Spain;2015
1767;33;35;LEND LEASE, Millers Point, NSW, Australia†;3467.1;9282.0;2865.0;99;0;0;1;0;0;0;0;0;Y;LEND LEASE; Millers Point,NSW;Australia;2015
1768;34;30;DAELIM INDUSTRIAL CO. LTD., Seoul, S. Korea†;3421.7;6821.3;2698.0;0;3;23;0;0;70;2;0;3;Y;DAELIM INDUSTRIAL CO. LTD.;Seoul;S. Korea;2015
1769;35;45;OBAYASHI CORP ., Tokyo, Japan†;3357.0;14957.0;143.0;35;2;9;13;3;0;37;0;0;Y;OBAYASHI CORP .;Tokyo;Japan;2015
1770;36;37;KIEWIT CORP ., Omaha, Neb., U.S.A.†;3167.0;10165.2;705.0;0;0;15;0;0;74;6;0;0;Y;KIEWIT CORP .; Omaha,Neb.;U.S.A.;2015
1771;37;53;RENAISSANCE CONSTRUCTION, Ankara, Turkey†;3001.1;3437.1;1725.7;72;4;7;0;0;10;7;0;0;Y;RENAISSANCE CONSTRUCTION;Ankara;Turkey;2015
1772;38;190;MCCONNELL DOWELL CORP . LTD., Hawthorn West, VIC, Australia†;2987.5;5201.2;1094.3;10;0;12;0;3;51;24;0;0;Y;MCCONNELL DOWELL CORP . LTD.; Hawthorn West,VIC;Australia;2015
1773;39;44;CHIYODA CORP ., Yokohama, Kanagawa Pref., Japan ;2935.9;3837.5;5290.9;0;0;6;0;0;92;1;0;0;N;CHIYODA CORP .; Yokohama,Kanagawa Pref.;Japan;2015
1774;40;67;ORASCOM CONSTRUCTION LTD., Cairo, Egypt†;2935.0;2952.0;4768.0;33;0;7;1;0;41;17;0;0;Y;ORASCOM CONSTRUCTION LTD.;Cairo;Egypt;2015
1775;41;42;EIFFAGE, Vélizy-Villacoublay, France†;2918.0;14437.0;2800.0;27;4;14;6;9;7;33;0;0;Y;EIFFAGE;Vélizy-Villacoublay;France;2015
1776;42;43;SK ENGINEERING & CONSTRUCTION, Seoul, S. Korea†;2915.1;7379.3;4200.0;2;0;5;3;0;67;18;0;1;Y;SK ENGINEERING & CONSTRUCTION;Seoul;S. Korea;2015
1777;43;49;DAEWOO ENGINEERING & CONSTRUCTION CO. LTD., Seoul, S. Korea†;2867.6;8962.6;3329.4;12;0;35;1;0;46;5;0;0;Y;DAEWOO ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;S. Korea;2015
1778;44;51;CHINA GEZHOUBA GROUP CO. LTD., Wuhan City, Hubei Prov., China†;2823.0;9614.4;10447.9;9;0;71;8;6;0;6;0;0;Y;CHINA GEZHOUBA GROUP CO. LTD.; Wuhan City,Hubei Prov.;China;2015
1779;45;40;KBR, Houston, Texas, U.S.A.†;2747.0;4839.0;NA;0;0;2;4;0;88;6;0;0;Y;KBR; Houston,Texas;U.S.A.;2015
1780;46;**;JAN DE NUL GROUP , Capellen, Luxembourg†;2715.0;2715.0;3587.0;7;0;0;0;3;16;15;0;0;Y;JAN DE NUL GROUP;Capellen;Luxembourg;2015
1781;47;71;CHINA CIVIL ENGINEERING CONSTRUCTION CORP ., Beijing, China†;2690.5;3085.3;16034.1;5;0;0;0;0;0;95;0;0;Y;CHINA CIVIL ENGINEERING CONSTRUCTION CORP .;Beijing;China;2015
1782;48;48;M+W GROUP , Stuttgart, Germany ;2681.6;2940.8;3000.0;0;59;18;0;0;18;0;0;5;N;M+W GROUP;Stuttgart;Germany;2015
1783;49;68;CHINA METALLURGICAL GROUP CORP ., Beijing, China†;2669.0;30026.2;1515.9;31;0;0;8;0;37;8;0;0;Y;CHINA METALLURGICAL GROUP CORP .;Beijing;China;2015
1784;50;50;DANIELI & C. OM SPA, Buttrio (UD), Italy†;2648.0;2918.0;1950.0;0;0;0;0;0;100;0;0;0;Y;DANIELI & C. OM SPA;Buttrio (UD);Italy;2015
1785;51;56;JACOBS, Pasadena, Calif., U.S.A. ;2605.7;5104.0;5215.1;5;2;5;0;0;77;1;3;0;N;JACOBS; Pasadena,Calif.;U.S.A.;2015
1786;52;46;CITIC CONSTRUCTION CO. LTD., Beijing, China ;2605.3;2618.6;232.9;96;0;0;0;0;2;1;0;0;N;CITIC CONSTRUCTION CO. LTD.;Beijing;China;2015
1787;53;54;KAJIMA CORP ., Tokyo, Japan†;2595.4;12529.5;2344.3;59;30;2;0;0;2;6;0;0;Y;KAJIMA CORP .;Tokyo;Japan;2015
1788;54;59;MOTA-ENGIL, Porto, Portugal†;2552.0;3342.0;2637.0;14;0;6;6;2;0;72;0;0;Y;MOTA-ENGIL;Porto;Portugal;2015
1789;55;62;ASTALDI SPA, Rome, Italy†;2530.7;3342.8;1319.0;4;0;17;1;0;0;78;0;0;Y;ASTALDI SPA;Rome;Italy;2015
1790;56;65;WORLEYPARSONS, North Sydney, NSW, Australia†;2520.5;2675.5;325.1;0;0;0;0;0;100;0;0;0;Y;WORLEYPARSONS; North Sydney,NSW;Australia;2015
1791;57;47;LARSEN & TOUBRO LTD., Mumbai, Maharashtra, India†;2490.6;11429.7;4662.4;6;5;38;0;1;29;21;0;0;Y;LARSEN & TOUBRO LTD.; Mumbai,Maharashtra;India;2015
1792;58;39;CHINA RAILWAY CONSTRUCTION CORP . LTD., Beijing, China†;2450.0;97044.0;7287.0;27;0;1;0;0;0;65;0;0;Y;CHINA RAILWAY CONSTRUCTION CORP . LTD.;Beijing;China;2015
1793;59;57;POSCO ENGINEERING & CONSTRUCTION, Incheon, S. Korea†;2309.9;8083.6;4940.3;4;3;50;1;1;34;8;0;0;Y;POSCO ENGINEERING & CONSTRUCTION;Incheon;S. Korea;2015
1794;60;70;TOYO ENGINEERING CORP ., Narashino, Chiba, Japan†;2251.4;2591.8;2700.8;0;0;0;0;0;100;0;0;0;Y;TOYO ENGINEERING CORP .; Narashino,Chiba;Japan;2015
1795;61;60;ACCIONA INFRAESTRUCTURAS SA, Madrid, Spain†;2240.8;3661.1;2962.4;15;0;14;16;6;0;41;0;0;Y;ACCIONA INFRAESTRUCTURAS SA;Madrid;Spain;2015
1796;62;85;POLIMEKS INSAAT TAAHHUT VE SAN. TIC. AS, Istanbul, Turkey ;2202.6;2202.6;2025.2;68;0;0;0;0;2;18;0;0;N;POLIMEKS INSAAT TAAHHUT VE SAN. TIC. AS;Istanbul;Turkey;2015
1797;63;41;ISOLUX CORSAN, Madrid, Spain†;2062.7;2596.3;3292.3;2;0;67;1;1;1;28;0;0;Y;ISOLUX CORSAN;Madrid;Spain;2015
1798;64;63;CHINA PETROLEUM PIPELINE BUREAU (CPP), Langfang City, Hebei, China†;2009.4;4719.3;2369.2;0;0;0;0;0;85;0;0;1;Y;CHINA PETROLEUM PIPELINE BUREAU (CPP); Langfang City,Hebei;China;2015
1799;65;52;ENKA CONSTRUCTION & INDUSTRY CO. INC., Istanbul, Turkey†;1923.5;2138.9;2175.0;26;0;50;0;0;16;7;0;0;Y;ENKA CONSTRUCTION & INDUSTRY CO. INC.;Istanbul;Turkey;2015
1800;66;76;CHINA PETROLEUM ENGINEERING & CONST. (GROUP) CORP ., Beijing, China†;1890.9;3294.5;6023.4;0;0;0;0;0;100;0;0;0;Y;CHINA PETROLEUM ENGINEERING & CONST. (GROUP) CORP .;Beijing;China;2015
1801;67;**;AECOM, Los Angeles, Calif., U.S.A. ;1869.0;7095.0;1917.6;7;1;1;3;0;84;3;0;0;N;AECOM; Los Angeles,Calif.;U.S.A.;2015
1802;68;100;SNC-LAVALIN INTERNATIONAL INC., Montreal, Quebec, Canada†;1731.8;3519.3;1002.6;5;0;22;0;0;71;1;0;0;Y;SNC-LAVALIN INTERNATIONAL INC.; Montreal,Quebec;Canada;2015
1803;69;66;VAN OORD, Rotterdam, The Netherlands†;1710.6;2566.3;NA;0;0;0;0;0;20;80;0;0;Y;VAN OORD;Rotterdam;The Netherlands;2015
1804;70;72;PORR AG, Vienna, Austria†;1647.0;4205.0;1568.0;16;0;0;0;0;0;84;0;0;Y;PORR AG;Vienna;Austria;2015
1805;71;61;SACYR, Madrid, Spain†;1570.9;3192.5;1794.5;25;0;1;5;0;1;68;0;0;Y;SACYR;Madrid;Spain;2015
1806;72;79;DONGFANG ELECTRIC CORP ., Chengdu, Sichuan, China†;1567.2;7018.0;449.9;0;0;95;0;0;0;5;0;0;Y;DONGFANG ELECTRIC CORP .; Chengdu,Sichuan;China;2015
1807;73;69;BESIX SA, Brussels, Belgium†;1523.0;2647.4;1825.1;54;0;0;16;3;3;24;0;0;Y;BESIX SA;Brussels;Belgium;2015
1808;74;84;CHINA INT’L WATER & ELECTRIC CORP ., Beijing, China†;1520.4;1541.7;2041.5;3;0;25;48;0;1;23;0;0;Y;CHINA INT’L WATER & ELECTRIC CORP .;Beijing;China;2015
1809;75;75;SHIMIZU CORP ., Chuo-ku, Tokyo, Japan†;1420.8;11992.4;1525.1;45;32;0;2;1;13;7;0;0;Y;SHIMIZU CORP .; Chuo-ku,Tokyo;Japan;2015
1810;76;82;CHINA NATIONAL CHEMICAL ENGINEERING GROUP CORP ., Beijing, China†;1420.1;10770.3;1891.1;1;0;23;2;0;59;0;0;0;Y;CHINA NATIONAL CHEMICAL ENGINEERING GROUP CORP .;Beijing;China;2015
1811;77;87;TAKENAKA CORP ., Osaka, Japan†;1390.0;8823.0;2116.0;34;52;0;0;0;0;11;0;0;Y;TAKENAKA CORP .;Osaka;Japan;2015
1812;78;73;HANWHA ENGINEERING & CONSTRUCTION CORP ., Seoul, S. Korea†;1389.1;3153.1;2.5;51;0;23;0;0;26;0;0;0;Y;HANWHA ENGINEERING & CONSTRUCTION CORP .;Seoul;S. Korea;2015
1813;79;81;JOANNOU & PARASKEVAIDES GROUP OF COS., Guernsey, Channel Islands, U.K. ;1380.1;1380.1;3980.0;28;0;8;0;1;10;52;0;0;N;JOANNOU & PARASKEVAIDES GROUP OF COS.; Guernsey,Channel Islands;U.K.;2015
1814;80;78;MAIRE TECNIMONT, Milan, Italy†;1352.8;1613.7;3200.3;0;0;17;0;0;76;8;0;0;Y;MAIRE TECNIMONT;Milan;Italy;2015
1815;81;98;QINGJIAN GROUP CO. LTD., Qingdao, Shandong, China†;1315.0;7744.0;781.0;95;0;0;1;0;0;5;0;0;Y;QINGJIAN GROUP CO. LTD.; Qingdao,Shandong;China;2015
1816;82;83;TAV CONSTRUCTION, Istanbul, Turkey ;1314.3;1454.4;56.1;8;0;0;0;0;0;92;0;0;N;TAV CONSTRUCTION;Istanbul;Turkey;2015
1817;83;77;ANDRADE GUTIERREZ ENGENHARIA SA, Rio de Janeiro, Brazil†;1224.4;3323.6;929.2;10;0;4;5;0;34;47;0;0;Y;ANDRADE GUTIERREZ ENGENHARIA SA;Rio de Janeiro;Brazil;2015
1818;84;88;SINOPEC ENGINEERING (GROUP) CO. LTD., Beijing, China†;1117.7;8064.4;1871.3;0;0;0;0;0;100;0;0;0;Y;SINOPEC ENGINEERING (GROUP) CO. LTD.;Beijing;China;2015
1819;85;105;THE ARAB CONTRACTORS CO., Cairo, Egypt†;1112.0;2367.0;772.0;33;0;0;0;6;0;61;0;0;Y;THE ARAB CONTRACTORS CO.;Cairo;Egypt;2015
1820;86;93;CGCOC GROUP CO. LTD., Beijing, China†;1102.3;1109.8;2031.4;14;0;7;19;0;0;60;0;0;Y;CGCOC GROUP CO. LTD.;Beijing;China;2015
1821;87;97;PENTA-OCEAN CONSTRUCTION CO. LTD., Tokyo, Japan†;1081.0;3279.6;2969.5;35;2;0;1;17;1;45;0;0;Y;PENTA-OCEAN CONSTRUCTION CO. LTD.;Tokyo;Japan;2015
1822;88;86;ED. ZÜBLIN AG, Stuttgart, Baden-Württemberg, Germany†;1061.2;4012.1;NA;45;0;0;0;13;0;6;0;0;Y;ED. ZÜBLIN AG; Stuttgart,Baden-Württemberg;Germany;2015
1823;89;157;CALIK ENERJI SAANAYI VE TICARET AS, Ankara, Turkey ;1010.7;1010.7;707.1;0;0;100;0;0;0;0;0;0;N;CALIK ENERJI SAANAYI VE TICARET AS;Ankara;Turkey;2015
1824;90;101;TEKFEN CONSTRUCTION & INSTALLATION CO. INC., Istanbul, Turkey†;981.0;1346.0;NA;60;0;0;0;0;20;20;0;0;Y;TEKFEN CONSTRUCTION & INSTALLATION CO. INC.;Istanbul;Turkey;2015
1825;91;64;SHANGHAI ELECTRIC GROUP CO. LTD., Shanghai, China†;973.0;1536.0;63.9;0;0;100;0;0;0;0;0;0;Y;SHANGHAI ELECTRIC GROUP CO. LTD.;Shanghai;China;2015
1826;92;107;ANT YAPI CONSTRUCTION, INDUSTRY & TRADE CO. LTD., Istanbul, Turkey†;951.5;1056.8;1070.3;98;0;0;0;2;0;0;0;0;Y;ANT YAPI CONSTRUCTION; INDUSTRY & TRADE CO. LTD.,Istanbul;Turkey;2015
1827;93;90;CHINA GENERAL TECHNOLOGY (GROUP) HOLDING LTD., Beijing, China ;945.4;4583.1;3016.9;0;3;87;0;0;4;4;0;0;N;CHINA GENERAL TECHNOLOGY (GROUP) HOLDING LTD.;Beijing;China;2015
1828;94;96;CONDOTTE SPA, Rome, Italy†;942.4;1536.4;456.5;18;0;0;3;0;0;77;0;0;Y;CONDOTTE SPA;Rome;Italy;2015
1829;95;99;ARABIAN CONSTRUCTION CO., Abu Dhabi, U.A.E.†;925.3;1048.4;2642.1;72;0;0;16;0;1;0;0;0;Y;ARABIAN CONSTRUCTION CO.;Abu Dhabi;U.A.E.;2015
1830;96;95;COMSA EMTE, Barcelona, Catalonia, Spain†;855.6;1812.6;NA;0;0;0;0;0;0;85;0;0;Y;COMSA EMTE; Barcelona,Catalonia;Spain;2015
1831;97;106;BAUER AG, Schrobenhausen, Bavaria, Germany†;801.0;1169.0;670.0;27;3;18;9;3;11;22;0;4;Y;BAUER AG; Schrobenhausen,Bavaria;Germany;2015
1832;98;123;SHAPOORJI PALLONJI ENGINEERING & CONSTRUCTION, Dubai, U.A.E.†;761.8;2778.5;2922.1;80;0;0;0;0;0;20;0;0;Y;SHAPOORJI PALLONJI ENGINEERING & CONSTRUCTION;Dubai;U.A.E.;2015
1833;99;118;KAYSON, Tehran, Iran†;755.6;909.5;NA;92;0;0;0;5;0;3;0;0;Y;KAYSON;Tehran;Iran;2015
1834;100;129;SHANGHAI CONSTRUCTION GROUP , Shanghai, China ;746.0;26621.8;1014.3;65;0;0;0;0;6;21;0;0;N;SHANGHAI CONSTRUCTION GROUP;Shanghai;China;2015
1835;101;109;SHIKUN & BINUI - SBI INFRASTRUCTURE LTD., Airport City, Israel†;741.2;741.2;878.9;1;0;2;1;0;0;96;0;0;Y;SHIKUN & BINUI - SBI INFRASTRUCTURE LTD.;Airport City;Israel;2015
1836;102;108;ANSALDO ENERGIA SPA, Genova, Italy†;729.9;733.0;729.9;0;0;100;0;0;0;0;0;0;Y;ANSALDO ENERGIA SPA;Genova;Italy;2015
1837;103;89;TAISEI CORP ., Tokyo, Japan†;718.0;11688.0;403.0;22;1;0;1;0;0;51;0;26;Y;TAISEI CORP .;Tokyo;Japan;2015
1838;104;216;CHINA NATIONAL COMPLETE PLANT IMP . & EXP . CORP ., Beijing, China†;698.9;698.9;241.2;5;0;2;0;0;93;0;0;0;Y;CHINA NATIONAL COMPLETE PLANT IMP . & EXP . CORP .;Beijing;China;2015
1839;105;114;C.M.C. DI RAVENNA SOCIETÀ COOPERATIVA, Ravenna, Emilia Romagna, Italy†;698.0;1295.3;866.5;6;0;29;11;0;0;46;0;0;Y;C.M.C. DI RAVENNA SOCIETÀ COOPERATIVA; Ravenna,Emilia Romagna;Italy;2015
1840;106;92;PUNJ LLOYD LTD, Gurgaon, Haryana, India†;692.0;962.0;897.0;16;0;2;2;0;72;7;0;0;Y;PUNJ LLOYD LTD; Gurgaon,Haryana;India;2015
1841;107;184;ILK CONSTRUCTION, Istanbul, Turkey ;692.0;692.0;213.4;49;0;0;0;0;49;0;0;1;N;ILK CONSTRUCTION;Istanbul;Turkey;2015
1842;108;112;METKA, Athens, Greece†;685.2;725.8;243.6;0;0;97;0;0;0;0;0;0;Y;METKA;Athens;Greece;2015
1843;109;128;BEIJING CONSTRUCTION ENGINEERING GROUP CO. LTD., Beijing, China†;654.5;7550.9;429.8;89;0;0;0;5;1;5;0;0;Y;BEIJING CONSTRUCTION ENGINEERING GROUP CO. LTD.;Beijing;China;2015
1844;110;149;CHINA ZHONGYUAN ENGINEERING CORP ., Beijing, China ;634.3;634.3;NA;0;0;100;0;0;0;0;0;0;N;CHINA ZHONGYUAN ENGINEERING CORP .;Beijing;China;2015
1845;111;127;YAPI MERKEZI INSAAT VE SANAYI AS, Istanbul, Turkey†;625.0;804.6;605.9;0;0;0;0;2;0;98;0;0;Y;YAPI MERKEZI INSAAT VE SANAYI AS;Istanbul;Turkey;2015
1846;112;139;CHINA CORP . FOR INT’L ECO. & TECH. COOP ., Nanchang, China†;619.2;737.9;1183.2;48;0;1;7;0;2;43;0;0;Y;CHINA CORP . FOR INT’L ECO. & TECH. COOP .;Nanchang;China;2015
1847;113;140;CHINA HENAN INT’L COOPERATION GROUP CO. LTD., Zhengzhou, China ;615.2;615.2;630.2;2;0;2;10;4;0;80;0;0;N;CHINA HENAN INT’L COOPERATION GROUP CO. LTD.;Zhengzhou;China;2015
1848;114;134;BONATTI SPA, Parma, Italy†;604.0;905.0;904.0;7;0;0;0;0;93;0;0;0;Y;BONATTI SPA;Parma;Italy;2015
1849;115;164;WEIHAI INT’L ECO. & TECH. COOP . CO. LTD., Weihai, Shandong, China†;595.2;595.2;737.9;71;0;0;6;0;1;23;0;0;Y;WEIHAI INT’L ECO. & TECH. COOP . CO. LTD.; Weihai,Shandong;China;2015
1850;116;116;NATA CONSTRUCTION TOURISM TRADE AND INDUSTRY CO., Ankara, Turkey†;593.4;1000.4;111.0;0;0;0;0;0;0;100;0;0;Y;NATA CONSTRUCTION TOURISM TRADE AND INDUSTRY CO.;Ankara;Turkey;2015
1851;117;135;SSANGYONG ENGINEERING & CONSTRUCTION CO. LTD., Seoul, S. Korea†;590.0;1259.0;364.9;65;0;0;8;0;0;28;0;0;Y;SSANGYONG ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;S. Korea;2015
1852;118;130;XPCC CONSTRUCTION & ENGINEERING (GROUP) CO. LTD., Urumqi, China†;582.3;3706.1;508.3;63;0;0;0;0;0;31;0;0;Y;XPCC CONSTRUCTION & ENGINEERING (GROUP) CO. LTD.;Urumqi;China;2015
1853;119;110;GHELLA SPA, Rome, Italy†;576.0;778.0;381.0;3;0;20;3;6;0;64;0;0;Y;GHELLA SPA;Rome;Italy;2015
1854;120;124;CHINA GEO-ENGINEERING CORP ., Beijing, China†;569.6;830.4;797.9;18;0;1;28;4;0;49;0;0;Y;CHINA GEO-ENGINEERING CORP .;Beijing;China;2015
1855;121;103;IC ICTAS INSAAT SANAYI VE TICARET AS, Ankara, Turkey†;563.7;1353.2;800.0;23;0;0;0;0;0;77;0;0;Y;IC ICTAS INSAAT SANAYI VE TICARET AS;Ankara;Turkey;2015
1856;122;131;CTCI CORP ., Taipei, Taiwan†;562.4;1633.3;1692.7;0;4;31;0;3;58;5;0;0;Y;CTCI CORP .;Taipei;Taiwan;2015
1857;123;132;YUKSEL INSAAT CO. INC., Ankara, Turkey†;556.3;681.3;443.3;25;0;0;28;0;0;48;0;0;Y;YUKSEL INSAAT CO. INC.;Ankara;Turkey;2015
